               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1265,             0.10675,            0.029651,                   0,                   0,                   0,                   0,             0.12659,             0.12817,            0.028648,                 0.1,                   0,                   0
                   1,              0.1231,             0.11603,            0.029063,           0.0025773,               0.125,           0.0020264,          0.00020264,             0.12577,             0.13118,            0.028524,            0.099096,           9.604e-05,           9.604e-05
                   2,             0.12199,             0.11067,            0.029848,           0.0026455,               0.125,           0.0020799,          0.00041597,             0.12544,             0.12941,            0.028562,            0.098184,          0.00018416,          0.00018416
                   3,             0.11693,            0.093292,            0.034381,              0.0025,               0.125,           0.0019222,          0.00057667,               0.125,             0.12808,            0.028629,            0.097264,          0.00026436,          0.00026436
                   4,             0.12239,            0.095802,             0.03165,           0.0024038,               0.125,           0.0017642,          0.00052925,             0.12454,             0.12654,            0.028678,            0.096337,          0.00033664,          0.00033664
                   5,             0.12276,             0.12726,            0.029485,              0.0025,               0.125,           0.0018188,          0.00054564,             0.12417,             0.12433,            0.028661,            0.095401,            0.000401,            0.000401
                   6,             0.12446,            0.090227,            0.030529,           0.0024752,               0.125,           0.0016174,          0.00048522,             0.12367,             0.12274,            0.028633,            0.094457,          0.00045744,          0.00045744
                   7,             0.12057,            0.087242,             0.03229,           0.0036711,              0.1875,           0.0025062,          0.00074743,             0.12338,             0.12023,            0.028483,            0.093506,          0.00050596,          0.00050596
                   8,             0.11936,             0.10664,            0.029362,           0.0036169,              0.1875,           0.0025001,          0.00082265,             0.12316,             0.11776,            0.028435,            0.092547,          0.00054656,          0.00054656
                   9,             0.12317,            0.094779,            0.028542,            0.003575,              0.1875,           0.0024689,          0.00070557,             0.12272,             0.11621,             0.02839,            0.091579,          0.00057924,          0.00057924
                  10,             0.11922,            0.089812,            0.030113,           0.0036318,              0.1875,           0.0027059,          0.00079215,             0.12243,             0.11407,            0.028305,            0.090604,            0.000604,            0.000604
                  11,             0.11864,             0.08813,            0.029479,            0.004923,                0.25,           0.0035454,          0.00089188,             0.12206,             0.11229,            0.028225,            0.089621,          0.00062084,          0.00062084
                  12,             0.12454,             0.07273,            0.026635,           0.0049114,                0.25,            0.003351,          0.00081929,             0.12135,             0.11147,            0.028154,             0.08863,          0.00062976,          0.00062976
                  13,              0.1181,            0.081791,            0.027642,            0.004923,                0.25,           0.0034506,          0.00090744,             0.12076,             0.11039,            0.028166,            0.087631,          0.00063076,          0.00063076
